time_s,north_m,east_m,latitude_deg,longitude_deg,depth_setpoint_m,depth_m,heading_setpoint_deg,heading_deg,speed_setpoint_mps,surge_speed_mps,pitch_setpoint_deg,pitch_deg,roll_deg,distance_to_target_m,rpm,elevator_deg,rudder_deg
320.3,337.47864845155,337.49100402861404,12.974635018400887,80.22401460985276,10.0,9.980568157866939,45.27603820443378,45.27985495438198,1.5,1.5000003310497911,-0.005021850608016821,-0.006873132438442078,5.55464213797406e-10,89.35140516926417,958.1233418268995,-0.000805725067547433,-0.00040398410746254643
320.35,337.53142162628967,337.5442956267591,12.97463549300145,80.22401510166594,10.0,9.98057684777739,45.276034829009525,45.279847062059,1.5,1.5000003303697176,-0.00502171392274338,-0.006871350454524343,5.548585204030885e-10,89.27640515338192,958.1233414643712,-0.0008054093938522132,-0.00040364857069328966
320.40000000000003,337.5841948084972,337.5975872174615,12.97463596760208,80.22401559347912,10.0,9.980585535500856,45.27603145468709,45.27983917633288,1.5,1.5000003296910411,-0.005021573829724288,-0.006869566856438419,5.542535930286025e-10,89.20140513753299,958.1233411025879,-0.0008050937242188229,-0.0004033134982903833
320.45000000000005,337.6369679981663,337.6508788007276,12.974636442202776,80.22401608529219,10.0,9.980594221035174,45.2760280814635,45.279831297194576,1.5,1.500000329013759,-0.005021430335368991,-0.0068677816483593505,5.536494312856964e-10,89.12640512171733,958.1233407415477,-0.0008047780588727101,-0.00040297888997176785
320.5,337.6897411952907,337.70417037656364,12.97463691680354,80.2240165771052,10.0,9.980602904378191,45.276024709335836,45.27982342463502,1.5,1.500000328337868,-0.005021283446073908,-0.006865994834455925,5.53046034786119e-10,89.05140510593492,958.1233403812491,-0.0008044623980358325,-0.0004026447454268958
320.55,337.7425143998641,337.757461944976,12.974637391404372,80.22401706891816,10.0,9.98061158552776,45.27602133830109,45.2798155586452,1.5,1.5000003276633656,-0.005021133168226549,-0.0068642064188906785,5.524434031416189e-10,88.97640509018564,958.1233400216908,-0.0008041467419299749,-0.00040231106431769
320.6,337.7952876118802,337.810753505971,12.974637866005269,80.224017560731,10.0,9.980620264481733,45.27601796835629,45.279807699216036,1.5,1.5000003269902487,-0.005020979508201399,-0.006862416405819896,5.518415355756936e-10,88.90140507446945,958.123339662871,-0.0008038310907735016,-0.00040197784640355285
320.65000000000003,337.84806083133276,337.8640450595549,12.974638340606234,80.22401805254384,10.0,9.980628941237972,45.27601459949848,45.279799846338555,1.5,1.5000003263185144,-0.005020822472372117,-0.006860624799393624,5.512404324765942e-10,88.82640505878625,958.1233393047885,-0.0008035154447909975,-0.0004016450913518877
320.70000000000005,337.90083405821554,337.91733660573396,12.974638815207266,80.22401854435657,10.0,9.980637615794347,45.27601123172464,45.27979200000367,1.5,1.5000003256481602,-0.0050206620670993456,-0.006858831603755684,5.506400930678183e-10,88.75140504313602,958.1233389474417,-0.0008031998042035059,-0.0004013127989029784
320.75,337.9536072925223,337.9706281445145,12.974639289808364,80.22401903616924,10.0,9.980646288148726,45.27600786503184,45.27978416020241,1.5,1.500000324979183,-0.005020498298730704,-0.006857036823043676,5.500405173493658e-10,88.67640502751865,958.1233385908287,-0.0008028841692286187,-0.0004009809687058865
320.8,338.0063805342468,338.02391967590273,12.97463976440953,80.22401952798185,10.0,9.98065495829899,45.276004499417105,45.27977632692572,1.5,1.5000003243115798,-0.005020331173612978,-0.006855240461388989,5.494417053212369e-10,88.60140501193412,958.1233382349487,-0.0008025685400901132,-0.00040064960049543825
320.85,338.0591537833828,338.077211199905,12.97464023901076,80.22402001979435,10.0,9.98066362624302,45.27600113487743,45.279768500164636,1.5,1.5000003236453483,-0.005020160698075819,-0.006853442522916809,5.488436562069287e-10,88.52640499638233,958.1233378797996,-0.0008022529170049594,-0.0004003186939649716
320.90000000000003,338.1119270399241,338.1305027165275,12.97464071361206,80.2240205116068,10.0,9.980672291978706,45.275997771409834,45.27976067991011,1.5,1.5000003229804852,-0.005019986878443981,-0.0068516430117461224,5.4824636961819e-10,88.4514049808632,958.12333752538,-0.0008019373001931112,-0.0003999882488300979
320.95000000000005,338.16470030386455,338.18379422577647,12.974641188213424,80.22402100341924,10.0,9.98068095550394,45.27599440901136,45.27975286615319,1.5,1.500000322316988,-0.005019809721029147,-0.006849841931989724,5.476498459432722e-10,88.37640496537665,958.1233371716886,-0.0008016216898709654,-0.0003996582647906741
321.0,338.21747357519786,338.23708572765815,12.974641662814856,80.22402149523157,10.0,9.980689616816624,45.27599104767898,45.27974505888486,1.5,1.5000003216548536,-0.005019629232142152,-0.006848039287754224,5.470540836291699e-10,88.30140494992263,958.1233368187238,-0.0008013060862610481,-0.0003993287415562379
321.05,338.27024685391785,338.2903772221788,12.974642137416353,80.22402198704378,10.0,9.98069827591466,45.275987687409724,45.27973725809615,1.5,1.5000003209940795,-0.0050194454180726026,-0.0068462350831400625,5.464590830641346e-10,88.2264049345011,958.1233364664841,-0.0008009904895758111,-0.0003989996788456955
